latitude;longitude;Altitude;caida;Temperature_1;Temperature_2;Barometric_Pressure;pitch;rueda;yaw;Accelerometer_X;Accelerometer_Y;Accelerometer_Z
38.540577;-121.746841;30.1;1;30.503038;30.771959;1010.054215;1.978;2.668;-10.1292;0.0546;-0.7917;0.624
38.540577;-121.746841;29.9;1;30.503038;30.78203;1010.031523;1.9412;2.6772;-10.166;0.0624;-0.7956;0.6084
38.540577;-121.746841;29.4;1;30.514917;30.78203;1010.037761;1.9504;2.7048;-10.1292;0.0546;-0.7917;0.6123
38.540573;-121.746841;28.6;1;30.544613;30.78203;1010.115748;1.9504;2.7324;-10.166;0.0585;-0.78;0.6045
38.540569;-121.746841;28.299999;1;30.532735;30.812241;1010.060349;1.9596;2.6128;-10.2028;0.0468;-0.78;0.6123
38.540573;-121.746841;28.4;1;30.550551;30.812241;1010.090495;1.9412;2.6588;-10.1844;0.0507;-0.7839;0.6162
38.540573;-121.746841;28.9;1;30.550551;30.822309;1010.018631;1.9688;2.6312;-10.12;0.039;-0.7995;0.6084
38.540573;-121.746841;28.700001;1;30.568366;30.83238;1010.060117;1.9412;2.6956;-10.12;0.0507;-0.7956;0.6279
38.540569;-121.746849;28.299999;1;30.580241;30.83238;1010.041204;1.932;2.668;-10.12;0.0702;-0.7722;0.6045
38.540569;-121.746849;27.9;1;30.586179;30.83238;1010.048641;2.0056;2.6312;-10.1384;0.0663;-0.8151;0.6279
38.540569;-121.746849;27.6;1;30.592116;30.85252;1010.027161;1.932;2.668;-10.2028;0.0507;-0.7878;0.5967
38.540569;-121.746849;27.4;1;30.609927;30.85252;1010.022025;2.024;2.6772;-10.1568;0.0624;-0.7878;0.6318
38.540573;-121.746849;27.200001;1;30.6218;30.85252;1010.066062;1.9596;2.7692;-10.166;0.0351;-0.8112;0.6123
38.540573;-121.746841;26.6;1;30.627736;30.862591;1010.045788;2.0056;2.6404;-10.258;0.0546;-0.7839;0.6201
38.540573;-121.746841;26.200001;1;30.645544;30.862591;1010.079681;1.9964;2.6404;-10.2028;0.0507;-0.78;0.5967
38.540573;-121.746841;25.9;1;30.65148;30.862591;1010.097229;1.9688;2.6128;-10.1844;0.0546;-0.7917;0.6084
38.540573;-121.746841;25.4;1;30.65148;30.88273;1010.035491;1.9964;2.6588;-10.212;0.039;-0.7878;0.6045
38.540577;-121.746841;25;1;30.67522;30.88273;1010.097062;1.9596;2.6496;-10.1108;0.0585;-0.7722;0.5967
38.540577;-121.746841;24.700001;1;30.68709;30.88273;1010.072985;1.9412;2.714;-10.0832;0.0507;-0.7995;0.5967
38.540577;-121.746841;24.4;1;30.681155;30.892799;1010.075566;1.9412;2.6588;-10.1016;0.0585;-0.7995;0.585
38.540577;-121.746841;24.1;1;30.693024;30.892799;1010.077971;2.0056;2.6772;-10.1752;0.0468;-0.7761;0.6006
38.540577;-121.746834;23.799999;1;30.71676;30.88273;1010.097904;1.978;2.668;-10.1568;0.0663;-0.7956;0.6084
38.540577;-121.746834;23.5;1;30.710826;30.90287;1010.074004;1.978;2.6404;-10.1384;0.0702;-0.7878;0.6162
38.540577;-121.746841;22.9;1;30.722693;30.90287;1010.080184;2.0148;2.6312;-10.1844;0.0546;-0.7839;0.5967
38.540577;-121.746841;22.1;1;30.73456;30.92301;1010.075009;2.0332;2.6864;-10.166;0.0624;-0.7995;0.6084
38.540573;-121.746841;21.4;1;30.740493;30.92301;1010.005706;1.9964;2.6956;-10.166;0.0429;-0.7878;0.6045
38.540573;-121.746841;21.6;1;30.764223;30.933081;1010.069623;1.9872;2.6496;-10.1752;0.0663;-0.7878;0.6045
38.540577;-121.746841;21.6;1;30.764223;30.933081;1010.058271;1.9872;2.714;-10.166;0.0468;-0.8034;0.6045
